大富翁数据中心_市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,rb1605,2016-03-07 18:51:12.500,2073.0000,1725824,1725824,0.0000,0.0000,862912,-862912,空开,S,0.0000,0.0000,0,0
sc,rb1605,2016-03-07 20:59:00.500,2194.0000,1716960,-8864,1553044840.0000,70786.0000,30961,39825,空平,B,2193.0000,2194.0000,51,2589
sc,rb1605,2016-03-07 21:00:00.500,2183.0000,1718974,2014,196054220.0000,8952.0000,5483,3469,空开,S,2183.0000,2189.0000,81,945
sc,rb1605,2016-03-07 21:00:01.000,2183.0000,1718792,-182,115021100.0000,5260.0000,2539,2721,多平,S,2180.0000,2183.0000,119,39
sc,rb1605,2016-03-07 21:00:01.500,2187.0000,1720508,1716,224735020.0000,10298.0000,6007,4291,多开,B,2187.0000,2188.0000,11,20
sc,rb1605,2016-03-07 21:00:02.000,2183.0000,1713150,-7358,557114320.0000,25758.0000,9200,16558,多平,S,2181.0000,2183.0000,30,59
sc,rb1605,2016-03-07 21:00:02.500,2187.0000,1711754,-1396,335596020.0000,15628.0000,7116,8512,空平,B,2186.0000,2187.0000,29,24
sc,rb1605,2016-03-07 21:00:03.000,2160.0000,1711886,132,58039500.0000,2660.0000,1396,1264,空开,S,2160.0000,2180.0000,269,169
sc,rb1605,2016-03-07 21:00:03.500,2160.0000,1712446,560,61420020.0000,2838.0000,1699,1139,空开,S,2156.0000,2160.0000,2,56
sc,rb1605,2016-03-07 21:00:04.000,2160.0000,1712812,366,72527360.0000,3352.0000,1859,1493,空开,S,2158.0000,2159.0000,59,3
sc,rb1605,2016-03-07 21:00:04.500,2159.0000,1712210,-602,95983040.0000,4426.0000,1912,2514,多平,S,2159.0000,2181.0000,206,72
sc,rb1605,2016-03-07 21:00:05.000,2180.0000,1712164,-46,28436780.0000,1312.0000,633,679,空平,B,2173.0000,2180.0000,25,95
sc,rb1605,2016-03-07 21:00:05.500,2174.0000,1712690,526,51234280.0000,2350.0000,1438,912,空开,S,2174.0000,2185.0000,61,857
sc,rb1605,2016-03-07 21:00:06.000,2175.0000,1713268,578,17280420.0000,792.0000,685,107,多开,B,2175.0000,2178.0000,53,20
sc,rb1605,2016-03-07 21:00:06.500,2161.0000,1712948,-320,17227640.0000,792.0000,236,556,多平,S,2161.0000,2175.0000,17,87
sc,rb1605,2016-03-07 21:00:07.000,2160.0000,1712828,-120,9419480.0000,436.0000,158,278,多平,S,2160.0000,2161.0000,16,133
sc,rb1605,2016-03-07 21:00:07.500,2161.0000,1713324,496,48032240.0000,2216.0000,1356,860,多开,B,2161.0000,2163.0000,227,38
sc,rb1605,2016-03-07 21:00:08.000,2161.0000,1712644,-680,31572200.0000,1460.0000,390,1070,空平,B,2161.0000,2163.0000,684,4
sc,rb1605,2016-03-07 21:00:08.500,2162.0000,1712868,224,48844980.0000,2252.0000,1238,1014,多开,B,2162.0000,2175.0000,42,1
sc,rb1605,2016-03-07 21:00:09.000,2166.0000,1712820,-48,33309040.0000,1540.0000,746,794,空平,B,2163.0000,2168.0000,867,3
sc,rb1605,2016-03-07 21:00:09.500,2164.0000,1712642,-178,65122760.0000,2998.0000,1410,1588,多平,S,2164.0000,2167.0000,37,2
sc,rb1605,2016-03-07 21:00:10.000,2164.0000,1712610,-32,19600820.0000,906.0000,437,469,多平,S,2164.0000,2166.0000,131,123
sc,rb1605,2016-03-07 21:00:10.500,2167.0000,1713294,684,60894660.0000,2814.0000,1749,1065,多开,B,2166.0000,2167.0000,43,179
sc,rb1605,2016-03-07 21:00:11.000,2164.0000,1712758,-536,20689660.0000,956.0000,210,746,多平,S,2163.0000,2164.0000,34,10
sc,rb1605,2016-03-07 21:00:11.500,2164.0000,1712716,-42,9959020.0000,460.0000,209,251,多平,S,2163.0000,2164.0000,29,92
sc,rb1605,2016-03-07 21:00:12.000,2166.0000,1712642,-74,10514980.0000,486.0000,206,280,空平,B,2164.0000,2166.0000,49,118
sc,rb1605,2016-03-07 21:00:12.500,2163.0000,1712262,-380,17654040.0000,816.0000,218,598,多平,S,2161.0000,2163.0000,47,227
sc,rb1605,2016-03-07 21:00:13.000,2161.0000,1711932,-330,8430420.0000,390.0000,30,360,多平,S,2160.0000,2161.0000,470,378
sc,rb1605,2016-03-07 21:00:13.500,2164.0000,1711050,-882,62862080.0000,2906.0000,1012,1894,空平,B,2164.0000,2166.0000,105,177
sc,rb1605,2016-03-07 21:00:14.000,2163.0000,1710858,-192,16435920.0000,760.0000,284,476,多平,S,2161.0000,2163.0000,35,17
sc,rb1605,2016-03-07 21:00:14.500,2164.0000,1711140,282,53378520.0000,2466.0000,1374,1092,多开,B,2164.0000,2167.0000,381,26
sc,rb1605,2016-03-07 21:00:15.000,2163.0000,1710190,-950,41243180.0000,1906.0000,478,1428,多平,S,2163.0000,2166.0000,194,26
sc,rb1605,2016-03-07 21:00:15.500,2167.0000,1710394,204,18677300.0000,862.0000,533,329,多开,B,2167.0000,2168.0000,184,99
sc,rb1605,2016-03-07 21:00:16.000,2166.0000,1710380,-14,12438620.0000,574.0000,280,294,多平,S,2166.0000,2167.0000,32,301
sc,rb1605,2016-03-07 21:00:16.500,2164.0000,1710298,-82,11261980.0000,520.0000,219,301,多平,S,2165.0000,2167.0000,1,304
sc,rb1605,2016-03-07 21:00:17.000,2166.0000,1710160,-138,17545840.0000,810.0000,336,474,空平,B,2164.0000,2166.0000,224,250
sc,rb1605,2016-03-07 21:00:17.500,2166.0000,1710162,2,10432580.0000,482.0000,242,240,多开,B,2164.0000,2166.0000,39,291
sc,rb1605,2016-03-07 21:00:18.000,2166.0000,1710794,632,39192260.0000,1808.0000,1220,588,多开,B,2166.0000,2167.0000,1021,1
sc,rb1605,2016-03-07 21:00:18.500,2166.0000,1711174,380,22439960.0000,1036.0000,708,328,多开,B,2167.0000,2170.0000,3,2
sc,rb1605,2016-03-07 21:00:19.000,2172.0000,1711322,148,46861520.0000,2160.0000,1154,1006,多开,B,2168.0000,2172.0000,333,98
sc,rb1605,2016-03-07 21:00:19.500,2171.0000,1711348,26,40809940.0000,1882.0000,954,928,空开,S,2170.0000,2171.0000,82,165
sc,rb1605,2016-03-07 21:00:20.000,2172.0000,1710984,-364,17066320.0000,786.0000,211,575,空平,B,2172.0000,2173.0000,344,204
sc,rb1605,2016-03-07 21:00:20.500,2171.0000,1710490,-494,22806400.0000,1050.0000,278,772,多平,S,2171.0000,2172.0000,452,15
sc,rb1605,2016-03-07 21:00:21.000,2171.0000,1710888,398,37803880.0000,1740.0000,1069,671,空开,S,2173.0000,2175.0000,478,254
sc,rb1605,2016-03-07 21:00:21.500,2175.0000,1710952,64,21953540.0000,1010.0000,537,473,多开,B,2175.0000,2176.0000,76,209
sc,rb1605,2016-03-07 21:00:22.000,2175.0000,1710848,-104,10439200.0000,480.0000,188,292,空平,B,2174.0000,2175.0000,15,23
sc,rb1605,2016-03-07 21:00:22.500,2176.0000,1711330,482,13749860.0000,632.0000,557,75,多开,B,2176.0000,2177.0000,468,205
sc,rb1605,2016-03-07 21:00:23.000,2175.0000,1711584,254,24546140.0000,1128.0000,691,437,空开,S,2175.0000,2176.0000,455,46
sc,rb1605,2016-03-07 21:00:23.500,2176.0000,1711742,158,9618080.0000,442.0000,300,142,多开,B,2176.0000,2177.0000,75,149
sc,rb1605,2016-03-07 21:00:24.000,2177.0000,1711586,-156,14929560.0000,686.0000,265,421,空平,B,2176.0000,2177.0000,269,40
sc,rb1605,2016-03-07 21:00:24.500,2177.0000,1711844,258,12624160.0000,580.0000,419,161,多开,B,2177.0000,2178.0000,255,255
sc,rb1605,2016-03-07 21:00:25.000,2178.0000,1712110,266,19555860.0000,898.0000,582,316,多开,B,2178.0000,2179.0000,135,183
sc,rb1605,2016-03-07 21:00:25.500,2179.0000,1712348,238,19908980.0000,914.0000,576,338,多开,B,2178.0000,2179.0000,40,81
sc,rb1605,2016-03-07 21:00:26.000,2179.0000,1712530,182,6493420.0000,298.0000,240,58,多开,B,2179.0000,2180.0000,984,243
sc,rb1605,2016-03-07 21:00:26.500,2180.0000,1712648,118,20880740.0000,958.0000,538,420,多开,B,2180.0000,2181.0000,153,241
sc,rb1605,2016-03-07 21:00:27.000,2180.0000,1712808,160,5321120.0000,244.0000,202,42,多开,B,2180.0000,2181.0000,246,146
sc,rb1605,2016-03-07 21:00:27.500,2181.0000,1713222,414,21192620.0000,972.0000,693,279,多开,B,2181.0000,2182.0000,72,237
sc,rb1605,2016-03-07 21:00:28.000,2181.0000,1713280,58,8158660.0000,374.0000,216,158,多开,B,2181.0000,2182.0000,568,152
sc,rb1605,2016-03-07 21:00:28.500,2181.0000,1713470,190,25213800.0000,1156.0000,673,483,多开,B,2181.0000,2182.0000,732,131
sc,rb1605,2016-03-07 21:00:29.000,2182.0000,1712970,-500,21165400.0000,970.0000,235,735,空平,B,2182.0000,2183.0000,547,226
sc,rb1605,2016-03-07 21:00:29.500,2182.0000,1713210,240,33703940.0000,1544.0000,892,652,多开,B,2182.0000,2183.0000,591,1
sc,rb1605,2016-03-07 21:00:30.000,2182.0000,1713432,222,12570160.0000,576.0000,399,177,多开,B,2182.0000,2184.0000,1033,163
sc,rb1605,2016-03-07 21:00:30.500,2184.0000,1715298,1866,58358340.0000,2672.0000,2269,403,多开,B,2184.0000,2185.0000,44,68
sc,rb1605,2016-03-07 21:00:31.000,2185.0000,1715270,-28,8040980.0000,368.0000,170,198,空平,B,2185.0000,2186.0000,466,271
sc,rb1605,2016-03-07 21:00:31.500,2186.0000,1715144,-126,5944780.0000,272.0000,73,199,空平,B,2185.0000,2186.0000,288,203
sc,rb1605,2016-03-07 21:00:32.000,2185.0000,1715004,-140,9747720.0000,446.0000,153,293,多平,S,2185.0000,2186.0000,208,75
sc,rb1605,2016-03-07 21:00:32.500,2186.0000,1714310,-694,33465000.0000,1532.0000,419,1113,空平,B,2186.0000,2187.0000,39,320
sc,rb1605,2016-03-07 21:00:33.000,2186.0000,1714268,-42,26318820.0000,1204.0000,581,623,空平,B,2184.0000,2186.0000,3,138
sc,rb1605,2016-03-07 21:00:33.500,2185.0000,1714298,30,7819900.0000,358.0000,194,164,空开,S,2183.0000,2185.0000,598,322
sc,rb1605,2016-03-07 21:00:34.000,2186.0000,1714712,414,34207840.0000,1566.0000,990,576,多开,B,2185.0000,2186.0000,609,395
sc,rb1605,2016-03-07 21:00:34.500,2186.0000,1714970,258,46165960.0000,2112.0000,1185,927,多开,B,2186.0000,2187.0000,928,121
sc,rb1605,2016-03-07 21:00:35.000,2186.0000,1715688,718,69575580.0000,3182.0000,1950,1232,多开,B,2187.0000,2188.0000,3,590
sc,rb1605,2016-03-07 21:00:35.500,2187.0000,1716264,576,27980780.0000,1280.0000,928,352,多开,B,2187.0000,2188.0000,372,496
sc,rb1605,2016-03-07 21:00:36.000,2187.0000,1716042,-222,44135940.0000,2018.0000,898,1120,空平,B,2187.0000,2188.0000,83,357
sc,rb1605,2016-03-07 21:00:36.500,2187.0000,1716444,402,53697160.0000,2454.0000,1428,1026,多开,B,2186.0000,2187.0000,232,389
sc,rb1605,2016-03-07 21:00:37.000,2187.0000,1716360,-84,27731320.0000,1268.0000,592,676,空平,B,2187.0000,2189.0000,492,2
sc,rb1605,2016-03-07 21:00:37.500,2189.0000,1715824,-536,25765220.0000,1178.0000,321,857,空平,B,2188.0000,2189.0000,77,105
sc,rb1605,2016-03-07 21:00:38.000,2187.0000,1716584,760,32420720.0000,1482.0000,1121,361,空开,S,2187.0000,2188.0000,376,390
sc,rb1605,2016-03-07 21:00:38.500,2188.0000,1717196,612,16977280.0000,776.0000,694,82,多开,B,2187.0000,2188.0000,447,86
sc,rb1605,2016-03-07 21:00:39.000,2188.0000,1717298,102,33845760.0000,1546.0000,824,722,多开,B,2188.0000,2190.0000,458,1052
sc,rb1605,2016-03-07 21:00:39.500,2188.0000,1716542,-756,33962860.0000,1552.0000,398,1154,空平,B,2188.0000,2189.0000,135,35
sc,rb1605,2016-03-07 21:00:40.000,2188.0000,1717038,496,16800840.0000,768.0000,632,136,多开,B,2187.0000,2188.0000,915,300
sc,rb1605,2016-03-07 21:00:40.500,2188.0000,1717536,498,32247600.0000,1474.0000,986,488,多开,B,2187.0000,2188.0000,740,558
sc,rb1605,2016-03-07 21:00:41.000,2188.0000,1717676,140,37107800.0000,1696.0000,918,778,多开,B,2188.0000,2189.0000,68,476
sc,rb1605,2016-03-07 21:00:41.500,2188.0000,1717920,244,15096540.0000,690.0000,467,223,多开,B,2187.0000,2188.0000,826,110
sc,rb1605,2016-03-07 21:00:42.000,2187.0000,1717674,-246,33792680.0000,1544.0000,649,895,多平,S,2187.0000,2188.0000,822,1
sc,rb1605,2016-03-07 21:00:42.500,2188.0000,1717622,-52,3763460.0000,172.0000,60,112,空平,B,2188.0000,2190.0000,260,964
sc,rb1605,2016-03-07 21:00:43.000,2189.0000,1717822,200,31941520.0000,1460.0000,830,630,多开,B,2188.0000,2189.0000,1413,48
sc,rb1605,2016-03-07 21:00:43.500,2189.0000,1717528,-294,25254680.0000,1154.0000,430,724,空平,B,2189.0000,2190.0000,508,962
sc,rb1605,2016-03-07 21:00:44.000,2189.0000,1717632,104,3327680.0000,152.0000,128,24,多开,B,2189.0000,2190.0000,509,945
sc,rb1605,2016-03-07 21:00:44.500,2190.0000,1717630,-2,71118160.0000,3248.0000,1623,1625,空平,B,2190.0000,2191.0000,319,1289
sc,rb1605,2016-03-07 21:00:45.000,2189.0000,1716216,-1414,55137360.0000,2518.0000,552,1966,多平,S,2188.0000,2189.0000,1968,69
sc,rb1605,2016-03-07 21:00:45.500,2190.0000,1715304,-912,35571280.0000,1624.0000,356,1268,空平,B,2189.0000,2190.0000,154,7
sc,rb1605,2016-03-07 21:00:46.000,2189.0000,1715174,-130,39103580.0000,1786.0000,828,958,多平,S,2189.0000,2191.0000,218,724
sc,rb1605,2016-03-07 21:00:46.500,2190.0000,1715362,188,8540240.0000,390.0000,289,101,多开,B,2189.0000,2190.0000,169,50
sc,rb1605,2016-03-07 21:00:47.000,2190.0000,1715554,192,10249980.0000,468.0000,330,138,多开,B,2190.0000,2191.0000,89,1212
sc,rb1605,2016-03-07 21:00:47.500,2190.0000,1715334,-220,9242800.0000,422.0000,101,321,空平,B,2190.0000,2191.0000,814,1163
sc,rb1605,2016-03-07 21:00:48.000,2190.0000,1715356,22,27690240.0000,1264.0000,643,621,多开,B,2190.0000,2191.0000,734,733
sc,rb1605,2016-03-07 21:00:48.500,2191.0000,1714756,-600,38997000.0000,1780.0000,590,1190,空平,B,2191.0000,2192.0000,307,361
sc,rb1605,2016-03-07 21:00:49.000,2191.0000,1714898,142,5653600.0000,258.0000,200,58,多开,B,2191.0000,2192.0000,902,321
sc,rb1605,2016-03-07 21:00:49.500,2192.0000,1715114,216,15562720.0000,710.0000,463,247,多开,B,2192.0000,2193.0000,88,2011
sc,rb1605,2016-03-07 21:00:50.000,2192.0000,1715088,-26,17187020.0000,784.0000,379,405,空平,B,2191.0000,2192.0000,911,121
sc,rb1605,2016-03-07 21:00:50.500,2191.0000,1715250,162,31157600.0000,1422.0000,792,630,空开,S,2191.0000,2192.0000,389,325
sc,rb1605,2016-03-07 21:00:51.000,2191.0000,1715538,288,48786960.0000,2226.0000,1257,969,空开,S,2190.0000,2191.0000,1324,63
sc,rb1605,2016-03-07 21:00:51.500,2191.0000,1715638,100,10166380.0000,464.0000,282,182,空开,S,2191.0000,2192.0000,403,26
sc,rb1605,2016-03-07 21:00:52.000,2192.0000,1716318,680,44930460.0000,2050.0000,1365,685,多开,B,2191.0000,2192.0000,162,4
sc,rb1605,2016-03-07 21:00:52.500,2191.0000,1716224,-94,55469560.0000,2532.0000,1219,1313,多平,S,2191.0000,2192.0000,19,15
sc,rb1605,2016-03-07 21:00:53.000,2191.0000,1716452,228,22218740.0000,1014.0000,621,393,空开,S,2190.0000,2191.0000,2373,629
sc,rb1605,2016-03-07 21:00:53.500,2191.0000,1716870,418,33861820.0000,1546.0000,982,564,空开,S,2190.0000,2191.0000,1828,433
sc,rb1605,2016-03-07 21:00:54.000,2192.0000,1716038,-832,49159580.0000,2244.0000,706,1538,空平,B,2191.0000,2192.0000,92,470
sc,rb1605,2016-03-07 21:00:54.500,2191.0000,1715878,-160,30114060.0000,1374.0000,607,767,多平,S,2191.0000,2192.0000,14,51
sc,rb1605,2016-03-07 21:00:55.000,2192.0000,1716368,490,12143880.0000,554.0000,522,32,多开,B,2192.0000,2193.0000,1210,1756
sc,rb1605,2016-03-07 21:00:55.500,2192.0000,1716780,412,23413020.0000,1068.0000,740,328,多开,B,2192.0000,2193.0000,871,1644
sc,rb1605,2016-03-07 21:00:56.000,2192.0000,1716692,-88,20213980.0000,922.0000,417,505,空平,B,2192.0000,2193.0000,601,1457
sc,rb1605,2016-03-07 21:00:56.500,2192.0000,1717798,1106,41270740.0000,1882.0000,1494,388,多开,B,2192.0000,2193.0000,528,596
sc,rb1605,2016-03-07 21:00:57.000,2193.0000,1718272,474,29210600.0000,1332.0000,903,429,多开,B,2193.0000,2194.0000,266,3158
sc,rb1605,2016-03-07 21:00:57.500,2194.0000,1717988,-284,40523420.0000,1848.0000,782,1066,空平,B,2193.0000,2194.0000,8,2977
sc,rb1605,2016-03-07 21:00:58.000,2193.0000,1717936,-52,21572500.0000,984.0000,466,518,多平,S,2193.0000,2194.0000,111,2983
sc,rb1605,2016-03-07 21:00:58.500,2193.0000,1718548,612,110082360.0000,5018.0000,2815,2203,空开,S,2193.0000,2194.0000,67,1112
sc,rb1605,2016-03-07 21:00:59.000,2193.0000,1718628,80,8335660.0000,380.0000,230,150,空开,S,2193.0000,2194.0000,127,1011
sc,rb1605,2016-03-07 21:00:59.500,2193.0000,1718642,14,39621980.0000,1806.0000,910,896,空开,S,2193.0000,2194.0000,822,261
sc,rb1605,2016-03-07 21:01:00.000,2194.0000,1719012,370,16762120.0000,764.0000,567,197,多开,B,2194.0000,0.0000,442,0
sc,rb1605,2016-03-07 21:01:00.500,2194.0000,1719468,456,21018520.0000,958.0000,707,251,多开,B,2194.0000,0.0000,890,0
sc,rb1605,2016-03-07 21:01:01.000,2194.0000,1719428,-40,5660520.0000,258.0000,109,149,空平,B,2194.0000,0.0000,1460,0
sc,rb1605,2016-03-07 21:01:01.500,2194.0000,1719420,-8,2413400.0000,110.0000,51,59,空平,B,2194.0000,0.0000,1527,0
sc,rb1605,2016-03-07 21:01:02.000,2194.0000,1719340,-80,21588960.0000,984.0000,452,532,空平,B,2194.0000,0.0000,1517,0
sc,rb1605,2016-03-07 21:01:02.500,2194.0000,1719584,244,14304880.0000,652.0000,448,204,多开,B,2194.0000,0.0000,2035,0
sc,rb1605,2016-03-07 21:01:03.000,2194.0000,1719066,-518,30935400.0000,1410.0000,446,964,空平,B,2194.0000,0.0000,1872,0
sc,rb1605,2016-03-07 21:01:03.500,2194.0000,1719000,-66,13997720.0000,638.0000,286,352,空平,B,2194.0000,0.0000,3013,0
sc,rb1605,2016-03-07 21:01:04.000,2194.0000,1718000,-1000,34840720.0000,1588.0000,294,1294,空平,B,2194.0000,0.0000,2462,0
sc,rb1605,2016-03-07 21:01:04.500,2194.0000,1718038,38,15270240.0000,696.0000,367,329,多开,B,2194.0000,0.0000,2885,0
sc,rb1605,2016-03-07 21:01:05.000,2194.0000,1718058,20,5967680.0000,272.0000,146,126,多开,B,2194.0000,0.0000,3602,0
sc,rb1605,2016-03-07 21:01:05.500,2194.0000,1718410,352,10180160.0000,464.0000,408,56,多开,B,2194.0000,0.0000,3444,0
sc,rb1605,2016-03-07 21:01:06.000,2194.0000,1718750,340,14524280.0000,662.0000,501,161,多开,B,2194.0000,0.0000,3230,0
sc,rb1605,2016-03-07 21:01:06.500,2194.0000,1718778,28,745960.0000,34.0000,31,3,多开,B,2194.0000,0.0000,3226,0
sc,rb1605,2016-03-07 21:01:07.000,2194.0000,1718920,142,5046200.0000,230.0000,186,44,多开,B,2194.0000,0.0000,2674,0
sc,rb1605,2016-03-07 21:01:07.500,2194.0000,1719322,402,10838360.0000,494.0000,448,46,多开,B,2194.0000,0.0000,3340,0
sc,rb1605,2016-03-07 21:01:08.000,2194.0000,1719104,-218,7327960.0000,334.0000,58,276,空平,B,2194.0000,0.0000,3789,0
sc,rb1605,2016-03-07 21:01:08.500,2194.0000,1719042,-62,5221720.0000,238.0000,88,150,空平,B,2194.0000,0.0000,3952,0
sc,rb1605,2016-03-07 21:01:09.000,2194.0000,1719016,-26,10838360.0000,494.0000,234,260,空平,B,2194.0000,0.0000,3838,0
sc,rb1605,2016-03-07 21:01:09.500,2194.0000,1718996,-20,1009240.0000,46.0000,13,33,空平,B,2194.0000,0.0000,4980,0
sc,rb1605,2016-03-07 21:01:10.000,2194.0000,1718830,-166,4168600.0000,190.0000,12,178,空平,B,2194.0000,0.0000,5230,0
sc,rb1605,2016-03-07 21:01:10.500,2194.0000,1718814,-16,9960760.0000,454.0000,219,235,空平,B,2194.0000,0.0000,5056,0
sc,rb1605,2016-03-07 21:01:11.000,2194.0000,1718564,-250,8117800.0000,370.0000,60,310,空平,B,2194.0000,0.0000,6308,0
sc,rb1605,2016-03-07 21:01:11.500,2194.0000,1717960,-604,41247200.0000,1880.0000,638,1242,空平,B,2194.0000,0.0000,5408,0
sc,rb1605,2016-03-07 21:01:12.000,2194.0000,1717872,-88,4563520.0000,208.0000,60,148,空平,B,2194.0000,0.0000,5965,0
sc,rb1605,2016-03-07 21:01:12.500,2194.0000,1717854,-18,877600.0000,40.0000,11,29,空平,B,2194.0000,0.0000,6057,0
sc,rb1605,2016-03-07 21:01:13.000,2194.0000,1717850,-4,2588920.0000,118.0000,57,61,空平,B,2194.0000,0.0000,6558,0
sc,rb1605,2016-03-07 21:01:13.500,2194.0000,1717812,-38,1667440.0000,76.0000,19,57,空平,B,2194.0000,0.0000,6643,0
sc,rb1605,2016-03-07 21:01:14.000,2194.0000,1717780,-32,3817560.0000,174.0000,71,103,空平,B,2194.0000,0.0000,6683,0
sc,rb1605,2016-03-07 21:01:14.500,2194.0000,1717724,-56,2808320.0000,128.0000,36,92,空平,B,2194.0000,0.0000,6715,0
sc,rb1605,2016-03-07 21:01:15.000,2194.0000,1717708,-16,2545040.0000,116.0000,50,66,空平,B,2194.0000,0.0000,6670,0
sc,rb1605,2016-03-07 21:01:15.500,2194.0000,1717320,-388,29399600.0000,1340.0000,476,864,空平,B,2194.0000,0.0000,6236,0
sc,rb1605,2016-03-07 21:01:16.000,2194.0000,1717352,32,1667440.0000,76.0000,54,22,多开,B,2194.0000,0.0000,6263,0
sc,rb1605,2016-03-07 21:01:16.500,2194.0000,1717108,-244,7064680.0000,322.0000,39,283,空平,B,2194.0000,0.0000,6147,0
sc,rb1605,2016-03-07 21:01:17.000,2194.0000,1717036,-72,29706760.0000,1354.0000,641,713,空平,B,2194.0000,0.0000,5469,0
sc,rb1605,2016-03-07 21:01:17.500,2194.0000,1717352,316,23256400.0000,1060.0000,688,372,多开,B,2194.0000,0.0000,4990,0
sc,rb1605,2016-03-07 21:01:18.000,2194.0000,1717346,-6,4124720.0000,188.0000,91,97,空平,B,2194.0000,0.0000,4938,0
sc,rb1605,2016-03-07 21:01:18.500,2194.0000,1717164,-182,11672080.0000,532.0000,175,357,空平,B,2194.0000,0.0000,4661,0
sc,rb1605,2016-03-07 21:01:19.000,2194.0000,1717226,62,28302600.0000,1290.0000,676,614,多开,B,2194.0000,0.0000,4120,0
sc,rb1605,2016-03-07 21:01:19.500,2194.0000,1717482,256,6274840.0000,286.0000,271,15,多开,B,2194.0000,0.0000,2985,0
sc,rb1605,2016-03-07 21:01:20.000,2194.0000,1719540,2058,66960880.0000,3052.0000,2555,497,多开,B,2194.0000,0.0000,1554,0
sc,rb1605,2016-03-07 21:01:20.500,2193.0000,1722216,2676,110561280.0000,5040.0000,3858,1182,空开,S,2193.0000,2194.0000,38,1695
sc,rb1605,2016-03-07 21:01:21.000,2192.0000,1721298,-918,23893680.0000,1090.0000,86,1004,多平,S,2192.0000,2193.0000,339,1429
sc,rb1605,2016-03-07 21:01:21.500,2191.0000,1721410,112,17581000.0000,802.0000,457,345,空开,S,2191.0000,2192.0000,129,228
sc,rb1605,2016-03-07 21:01:22.000,2192.0000,1721584,174,7143240.0000,326.0000,250,76,多开,B,2191.0000,2192.0000,23,272
sc,rb1605,2016-03-07 21:01:22.500,2192.0000,1721476,-108,26128700.0000,1192.0000,542,650,空平,B,2191.0000,2192.0000,25,83
sc,rb1605,2016-03-07 21:01:23.000,2190.0000,1721372,-104,5828280.0000,266.0000,81,185,多平,S,2190.0000,2191.0000,2091,87
sc,rb1605,2016-03-07 21:01:23.500,2190.0000,1721352,-20,12045720.0000,550.0000,265,285,多平,S,2190.0000,2191.0000,1675,77
sc,rb1605,2016-03-07 21:01:24.000,2193.0000,1721324,-28,29415560.0000,1342.0000,657,685,空平,B,2192.0000,2193.0000,1,890
sc,rb1605,2016-03-07 21:01:24.500,2192.0000,1721384,60,10342740.0000,472.0000,266,206,空开,S,2191.0000,2192.0000,25,279
sc,rb1605,2016-03-07 21:01:25.000,2191.0000,1721466,82,23355860.0000,1066.0000,574,492,空开,S,2190.0000,2191.0000,1413,81
sc,rb1605,2016-03-07 21:01:25.500,2190.0000,1722048,582,61964100.0000,2828.0000,1705,1123,空开,S,2190.0000,2192.0000,892,68
sc,rb1605,2016-03-07 21:01:26.000,2190.0000,1722108,60,26032060.0000,1188.0000,624,564,空开,S,2190.0000,2191.0000,644,50
sc,rb1605,2016-03-07 21:01:26.500,2190.0000,1722538,430,14804680.0000,676.0000,553,123,空开,S,2190.0000,2191.0000,300,237
sc,rb1605,2016-03-07 21:01:27.000,2190.0000,1724346,1808,45353820.0000,2070.0000,1939,131,空开,S,2190.0000,2193.0000,56,594
sc,rb1605,2016-03-07 21:01:27.500,2190.0000,1724480,134,9288680.0000,424.0000,279,145,空开,S,2189.0000,2190.0000,390,379
sc,rb1605,2016-03-07 21:01:28.000,2191.0000,1725166,686,31007800.0000,1416.0000,1051,365,多开,B,2191.0000,2192.0000,19,846
sc,rb1605,2016-03-07 21:01:28.500,2191.0000,1725268,102,5125620.0000,234.0000,168,66,多开,B,2190.0000,2191.0000,149,97
sc,rb1605,2016-03-07 21:01:29.000,2191.0000,1724800,-468,68116360.0000,3108.0000,1320,1788,空平,B,2191.0000,2193.0000,102,1002
sc,rb1605,2016-03-07 21:01:29.500,2190.0000,1724894,94,10777740.0000,492.0000,293,199,空开,S,2189.0000,2190.0000,162,131
sc,rb1605,2016-03-07 21:01:30.000,2190.0000,1725134,240,9241320.0000,422.0000,331,91,空开,S,2190.0000,2191.0000,29,13
sc,rb1605,2016-03-07 21:01:30.500,2190.0000,1725334,200,13009560.0000,594.0000,397,197,空开,S,2190.0000,2191.0000,535,17
sc,rb1605,2016-03-07 21:01:31.000,2191.0000,1725156,-178,13100180.0000,598.0000,210,388,空平,B,2190.0000,2191.0000,533,350
sc,rb1605,2016-03-07 21:01:31.500,2191.0000,1723966,-1190,30321760.0000,1384.0000,97,1287,空平,B,2190.0000,2191.0000,415,21
sc,rb1605,2016-03-07 21:01:32.000,2192.0000,1723992,26,13493300.0000,616.0000,321,295,多开,B,2191.0000,2192.0000,60,603
sc,rb1605,2016-03-07 21:01:32.500,2190.0000,1724000,8,7754840.0000,354.0000,181,173,空开,S,2190.0000,2191.0000,152,100
sc,rb1605,2016-03-07 21:01:33.000,2190.0000,1723516,-484,21518760.0000,982.0000,249,733,多平,S,2190.0000,2191.0000,136,65
sc,rb1605,2016-03-07 21:01:33.500,2190.0000,1723538,22,31685000.0000,1446.0000,734,712,空开,S,2189.0000,2190.0000,265,114
