大富翁数据中心_市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,rb1605,2016-03-08 10:39:46.500,2138.0000,1742876,-334,15136940.0000,708.0000,187,521,空平,B,2138.0000,2139.0000,89,88
sc,rb1605,2016-03-08 10:39:47.000,2138.0000,1742892,16,513140.0000,24.0000,20,4,多开,B,2138.0000,2139.0000,99,89
sc,rb1605,2016-03-08 10:39:47.500,2139.0000,1742638,-254,26506300.0000,1240.0000,493,747,空平,B,2136.0000,2139.0000,95,3
sc,rb1605,2016-03-08 10:39:48.000,2138.0000,1742780,142,4787520.0000,224.0000,183,41,空开,S,2137.0000,2138.0000,89,90
sc,rb1605,2016-03-08 10:39:48.500,2137.0000,1742596,-184,4702620.0000,220.0000,18,202,多平,S,2137.0000,2138.0000,66,80
sc,rb1605,2016-03-08 10:39:49.000,2138.0000,1742588,-8,470180.0000,22.0000,7,15,空平,B,2137.0000,2138.0000,170,200
sc,rb1605,2016-03-08 10:39:49.500,2138.0000,1742578,-10,427540.0000,20.0000,5,15,空平,B,2137.0000,2138.0000,172,195
sc,rb1605,2016-03-08 10:39:50.000,2138.0000,1742734,156,9022100.0000,422.0000,289,133,多开,B,2138.0000,2139.0000,108,519
sc,rb1605,2016-03-08 10:39:50.500,2138.0000,1742758,24,513120.0000,24.0000,24,0,双开,B,2138.0000,2139.0000,156,521
sc,rb1605,2016-03-08 10:39:51.000,2137.0000,1742668,-90,8723840.0000,408.0000,159,249,多平,S,2137.0000,2138.0000,161,326
sc,rb1605,2016-03-08 10:39:51.500,2138.0000,1742656,-12,8851320.0000,414.0000,201,213,空平,B,2137.0000,2138.0000,162,195
sc,rb1605,2016-03-08 10:39:52.000,2138.0000,1742624,-32,1069000.0000,50.0000,9,41,空平,B,2137.0000,2138.0000,246,170
sc,rb1605,2016-03-08 10:39:52.500,2137.0000,1742756,132,19831360.0000,928.0000,530,398,空开,S,2136.0000,2137.0000,88,103
sc,rb1605,2016-03-08 10:39:53.000,2136.0000,1742678,-78,2735320.0000,128.0000,25,103,多平,S,2136.0000,2137.0000,87,115
sc,rb1605,2016-03-08 10:39:53.500,2137.0000,1742646,-32,812020.0000,38.0000,3,35,空平,B,2136.0000,2137.0000,260,100
sc,rb1605,2016-03-08 10:39:54.000,2137.0000,1742598,-48,4487700.0000,210.0000,81,129,空平,B,2137.0000,2138.0000,341,221
sc,rb1605,2016-03-08 10:39:54.500,2137.0000,1742598,0,42740.0000,2.0000,1,1,多换,B,2137.0000,2138.0000,358,233
sc,rb1605,2016-03-08 10:39:55.000,2137.0000,1742598,0,85480.0000,4.0000,2,2,多换,B,2137.0000,2138.0000,268,381
sc,rb1605,2016-03-08 10:39:55.500,2137.0000,1742588,-10,769320.0000,36.0000,13,23,空平,B,2137.0000,2138.0000,256,394
sc,rb1605,2016-03-08 10:39:56.000,2138.0000,1742588,0,769400.0000,36.0000,18,18,多换,B,2137.0000,2138.0000,247,391
sc,rb1605,2016-03-08 10:39:56.500,2137.0000,1742588,0,897740.0000,42.0000,21,21,空换,S,2137.0000,2138.0000,246,381
sc,rb1605,2016-03-08 10:39:57.000,2137.0000,1742588,0,299180.0000,14.0000,7,7,空换,S,2137.0000,2138.0000,239,394
sc,rb1605,2016-03-08 10:39:57.500,2137.0000,1742586,-2,213720.0000,10.0000,4,6,多平,S,2137.0000,2138.0000,236,403
sc,rb1605,2016-03-08 10:39:58.000,2138.0000,1742580,-6,213760.0000,10.0000,2,8,空平,B,2137.0000,2138.0000,234,401
sc,rb1605,2016-03-08 10:39:58.500,2137.0000,1742580,0,384820.0000,18.0000,9,9,空换,S,2137.0000,2138.0000,239,396
sc,rb1605,2016-03-08 10:39:59.000,2138.0000,1742778,198,20011680.0000,936.0000,567,369,多开,B,2138.0000,2139.0000,11,23
sc,rb1605,2016-03-08 10:39:59.500,2138.0000,1742856,78,1753200.0000,82.0000,80,2,多开,B,2138.0000,2139.0000,162,41
sc,rb1605,2016-03-08 10:40:00.000,2138.0000,1742928,72,2052480.0000,96.0000,84,12,多开,B,2138.0000,2139.0000,191,45
sc,rb1605,2016-03-08 10:40:00.500,2139.0000,1742948,20,6289380.0000,294.0000,157,137,多开,B,2139.0000,2140.0000,49,1231
sc,rb1605,2016-03-08 10:40:01.000,2139.0000,1743090,142,7015760.0000,328.0000,235,93,多开,B,2138.0000,2139.0000,190,243
sc,rb1605,2016-03-08 10:40:01.500,2139.0000,1742958,-132,3679020.0000,172.0000,20,152,空平,B,2138.0000,2139.0000,204,174
sc,rb1605,2016-03-08 10:40:02.000,2139.0000,1742944,-14,2267280.0000,106.0000,46,60,空平,B,2138.0000,2139.0000,203,156
sc,rb1605,2016-03-08 10:40:02.500,2138.0000,1742904,-40,2010320.0000,94.0000,27,67,多平,S,2138.0000,2139.0000,204,127
sc,rb1605,2016-03-08 10:40:03.000,2139.0000,1742898,-6,8684120.0000,406.0000,200,206,空平,B,2138.0000,2139.0000,194,2
sc,rb1605,2016-03-08 10:40:03.500,2139.0000,1742894,-4,4663020.0000,218.0000,107,111,空平,B,2139.0000,2140.0000,320,1172
sc,rb1605,2016-03-08 10:40:04.000,2139.0000,1742666,-228,15871560.0000,742.0000,257,485,空平,B,2138.0000,2139.0000,207,294
sc,rb1605,2016-03-08 10:40:04.500,2138.0000,1742668,2,42760.0000,2.0000,2,0,双开,S,2138.0000,2139.0000,213,311
sc,rb1605,2016-03-08 10:40:05.000,2139.0000,1742686,18,427620.0000,20.0000,19,1,多开,B,2138.0000,2139.0000,199,325
sc,rb1605,2016-03-08 10:40:05.500,2139.0000,1742676,-10,299460.0000,14.0000,2,12,空平,B,2138.0000,2139.0000,203,327
sc,rb1605,2016-03-08 10:40:06.000,2139.0000,1742578,-98,2438440.0000,114.0000,8,106,空平,B,2138.0000,2139.0000,195,271
sc,rb1605,2016-03-08 10:40:06.500,2138.0000,1742296,-282,12230240.0000,572.0000,145,427,多平,S,2137.0000,2138.0000,269,242
sc,rb1605,2016-03-08 10:40:07.000,2138.0000,1741844,-452,11545180.0000,540.0000,44,496,多平,S,2138.0000,2139.0000,399,355
sc,rb1605,2016-03-08 10:40:07.500,2138.0000,1741784,-60,1454240.0000,68.0000,4,64,多平,S,2138.0000,2139.0000,448,331
sc,rb1605,2016-03-08 10:40:08.000,2139.0000,1741764,-20,427800.0000,20.0000,0,20,双平,B,2138.0000,2139.0000,469,322
sc,rb1605,2016-03-08 10:40:08.500,2139.0000,1741756,-8,299460.0000,14.0000,3,11,空平,B,2138.0000,2139.0000,486,326
sc,rb1605,2016-03-08 10:40:09.000,2139.0000,1741606,-150,3251180.0000,152.0000,1,151,空平,B,2138.0000,2139.0000,481,255
sc,rb1605,2016-03-08 10:40:09.500,2138.0000,1741618,12,7015780.0000,328.0000,170,158,空开,S,2138.0000,2139.0000,484,40
sc,rb1605,2016-03-08 10:40:10.000,2139.0000,1741720,102,4064100.0000,190.0000,146,44,多开,B,2139.0000,2140.0000,544,1259
sc,rb1605,2016-03-08 10:40:10.500,2140.0000,1741730,10,299500.0000,14.0000,12,2,多开,B,2139.0000,2140.0000,88,1259
sc,rb1605,2016-03-08 10:40:11.000,2139.0000,1741842,112,6502520.0000,304.0000,208,96,空开,S,2138.0000,2139.0000,506,486
sc,rb1605,2016-03-08 10:40:11.500,2138.0000,1741832,-10,855340.0000,40.0000,15,25,多平,S,2138.0000,2139.0000,495,513
sc,rb1605,2016-03-08 10:40:12.000,2139.0000,1741828,-4,5090780.0000,238.0000,117,121,空平,B,2138.0000,2139.0000,517,399
